Pass;Threads;Blocks;Time;;;;;;;;;;;;;;;;;;;
napalm5;64;16;6603,3542;;;;;;;;;;;;;;;;;;;
napalm5;64;32;2835,6252;;;;;;;;;;;;;;;;;;;
napalm5;64;48;5915,2032;;;;;;;;;;;;;;;;;;;
napalm5;64;64;5178,9308;;;;;;;;;;;;;;;;;;;
napalm5;64;80;8943,1442;;;;;;;;;;;;;;;;;;;6381,4466
napalm5;64;96;9221,0928;;;;;;;;;;;;;;;;;;;10135,3948
napalm5;64;112;4621,8807;;;;;;;;;;;;;;;;;;;22782,3676
napalm5;64;128;3823,9329;;;;;;;;;;;;;;;;;;;6720,2445
napalm5;64;144;6211,2259;;;;;;;;;;;;;;;;;;;18318,3713
napalm5;64;160;6773,4481;;;;;;;;;;;;;;;;;;;21150,5773
napalm5;96;16;5933,1617;;;;;;;;;;;;;;;;;;;21323,2213
napalm5;96;32;5234,6352;;;;;;;;;;;;;;;;;;;16794,1879
napalm5;96;48;5491,4918;;;;;;;;;;;;;;;;;;;18862,0725
napalm5;96;64;4709,8192;;;;;;;;;;;;;;;;;;;17924,2884
napalm5;96;80;5779,9407;;;;;;;;;;;;;;;;;;;16039,21722
napalm5;96;96;6086,1303;;;;;;;;;;;;;;;;;;;
napalm5;96;112;4569,0262;;;;;;;;;;;;;;;;;;;
napalm5;96;128;5742,4623;;;;;;;;;;;;;;;;;;;
napalm5;96;144;5044,0521;;;;;;;;;;;;;;;;;;;
napalm5;96;160;5214,977;;;;;;;;;;;;;;;;;;;
napalm5;128;16;2906,4898;;;;;;;;;;;;;;;;;;;
napalm5;128;32;4718,0419;;;;;;;;;;;;;;;;;;;
napalm5;128;48;8464,8104;;;;;;;;;;;;;;;;;;;
napalm5;128;64;3833,5829;;;;;;;;;;;;;;;;;;;
napalm5;128;80;8171,8363;;;;;;;;;;;;;;;;;;;
napalm5;128;96;8435,7505;;;;;;;;;;;;;;;;;;;
napalm5;128;112;7244,811;;;;;;;;;;;;;;;;;;;
napalm5;128;128;5824,0405;;;;;;;;;;;;;;;;;;;
napalm5;128;144;6069,685;;;;;;;;;;;;;;;;;;;
napalm5;128;160;6862,48;;;;;;;;;;;;;;;;;;;
