Pass;Threads;Blocks;Time
zebra1;64;16;107254,0443
zebra1;64;32;147928,8839
zebra1;64;48;88285,1371
zebra1;64;64;244130,6484
zebra1;64;80;56408,5184
zebra1;64;96;338945,2578
zebra1;64;112;330814,5973
zebra1;64;128;276834,9326
zebra1;64;144;337261,5474
zebra1;64;160;245774,7833
zebra1;96;16;24033,6827
zebra1;96;32;85675,0348
zebra1;96;48;273451,3129
zebra1;96;64;230300,9672
zebra1;96;80;281777,099
zebra1;96;96;291527,6995
zebra1;96;112;274743,483
zebra1;96;128;207787,3758
zebra1;96;144;262398,1107
zebra1;96;160;273891,601
zebra1;128;16;173719,3273
zebra1;128;32;265986,5099
zebra1;128;48;333883,702
zebra1;128;80;236730,5325
zebra1;128;96;310686,3245
zebra1;128;112;362224,9236
zebra1;128;128;340236,355
zebra1;128;144;344438,6186
zebra1;128;160;324926,3187
zebra1;128;160;325382,3767
