Pass;Threads;Blocks;Time
Brg51A;64;16;195302,3928
Brg51A;64;32;88883,5493
Brg51A;64;48;95970,0312
Brg51A;64;64;39316,42
Brg51A;64;80;349950,5599
Brg51A;64;96;211954,0809
Brg51A;64;112;124430,9693
Brg51A;64;128;60800,1162
Brg51A;64;144;10144,8164
Brg51A;64;160;161330,3637
Brg51A;96;16;112559,5084
Brg51A;96;32;74756,3964
Brg51A;96;48;7806,7669
Brg51A;96;64;155119,8822
Brg51A;96;80;66843,4738
Brg51A;96;96;129740,2815
Brg51A;96;112;202299,6814
Brg51A;96;128;141103,8723
Brg51A;96;144;96587,6822
Brg51A;96;160;148033,7389
Brg51A;128;16;103031,543
Brg51A;128;32;37470,0378
Brg51A;128;48;224614,2791
Brg51A;128;64;65250,9926
Brg51A;128;80;157352,2717
Brg51A;128;96;208047,3474
Brg51A;128;112;254435,0282
Brg51A;128;128;179534,7178
Brg51A;128;144;114713,5004
Brg51A;128;160;151605,7526
