Pass;Threads;Blocks;Time
NORAD3411;64;16;17206,1674
NORAD3411;64;32;6240,523
NORAD3411;64;48;14380,664
NORAD3411;64;64;12029,3445
NORAD3411;64;80;7953,3654
NORAD3411;64;96;21078,8023
NORAD3411;64;112;20101,1191
NORAD3411;64;128;6699,1719
NORAD3411;64;144;22569,7068
NORAD3411;64;160;17761,1129
NORAD3411;96;16;16267,1175
NORAD3411;96;32;13110,6533
NORAD3411;96;48;12438,9688
NORAD3411;96;64;10514,9113
NORAD3411;96;80;16903,3085
NORAD3411;96;96;16369,9548
NORAD3411;96;112;16084,0321
NORAD3411;96;128;13292,2811
NORAD3411;96;144;14501,832
NORAD3411;96;160;16092,9421
NORAD3411;128;16;6381,4466
NORAD3411;128;32;10135,3948
NORAD3411;128;48;22782,3676
NORAD3411;128;64;6720,2445
NORAD3411;128;80;18318,3713
NORAD3411;128;96;21150,5773
NORAD3411;128;112;21323,2213
NORAD3411;128;128;16794,1879
NORAD3411;128;144;18862,0725
NORAD3411;128;160;17924,2884
