Pass;Threads;Blocks;Time
napalm5Zq;64;16;326892,8248
napalm5Zq;64;32;87608,3023
napalm5Zq;64;48;338654,8206
napalm5Zq;64;64;240351,8729
napalm5Zq;64;80;517252,3055
napalm5Zq;64;96;499796,6963
napalm5Zq;64;112;150109,4117
napalm5Zq;64;128;87598,9231
napalm5Zq;64;144;292454,3733
napalm5Zq;64;160;302550,7806
napalm5Zq;96;16;328730,2422
napalm5Zq;96;32;245113,4701
napalm5Zq;96;48;213638,3178
napalm5Zq;96;64;195551,4464
napalm5Zq;96;80;296090,1727
napalm5Zq;96;96;306305,9101
napalm5Zq;96;112;194909,3206
napalm5Zq;96;128;269855,8279
napalm5Zq;96;144;218990,5241
napalm5Zq;96;160;281084,0192
napalm5Zq;128;16;82458,4647
napalm5Zq;128;32;168391,2192
napalm5Zq;128;48;416793,25
napalm5Zq;128;64;102982,1662
napalm5Zq;128;80;420393,62
napalm5Zq;128;96;445725,2444
napalm5Zq;128;112;387632,0206
napalm5Zq;128;128;241759,5359
napalm5Zq;128;144;257019,9739
napalm5Zq;128;160;326426,1316
